"","eta.ka","eta.cl","eta.v","IWRES"
"mean",-0.0185929810606778,0.00268380971055433,-0.00692506902580529,-0.0518889671255514
"var",0.387286195982024,0.0642083733814646,0.0153142868297192,0.776337629983092
"sd",0.622323224684748,0.253393712197964,0.123750906379384,0.881100238328814
"skewness",0.816398673255072,-0.519147097478154,-0.123388804032098,0.271292116165498
"kurtosis",0.0433821741236811,-0.537025625513671,-1.0174572802698,5.40865036656756
"var shrinkage (%)",2.66807461813447,8.63022353942507,19.7729422064106,22.3662370016908
"sd shrinkage (%)",1.34305631033084,4.4124608222521,10.4304416704038,11.8899761671186
"t statistic",-0.103496018094371,0.03668989838939,-0.193850239154522,-0.67660729018131
"p-value",0.919432119277825,0.971389633305878,0.849826467246231,0.499848088793201
