"iter","type","objf","tka","tcl","tv","add.sd","o1","o2","o3"
1,"Scaled",133.576494144595,-1,-0.637832151326478,1,-0.833333333333333,-0.542520422355001,-0.39919989679531,-0.114480393307385
1,"Unscaled",133.576494144595,0.45,0.993251773010283,3.45,0.7,1.1362193664675,1.35120015480703,1.77827941003892
1,"Back-Transformed",133.576494144595,1.56831218549017,2.7,31.5003923087479,0.7,1.1362193664675,1.35120015480703,1.77827941003892
2,"Scaled",133.574388317307,-1,-0.637832151326478,1,-0.833333333333333,-0.542520422355001,-0.39919989679531,-0.114480393307385
2,"Unscaled",133.574388317307,0.45,0.993251773010283,3.45,0.7,1.1362193664675,1.35120015480703,1.77827941003892
2,"Back-Transformed",133.574388317307,1.56831218549017,2.7,31.5003923087479,0.7,1.1362193664675,1.35120015480703,1.77827941003892
3,"Scaled",134.135993537095,-0.8,-0.637832151326478,1,-0.833333333333333,-0.542520422355001,-0.39919989679531,-0.114480393307385
3,"Unscaled",134.135993537095,0.65,0.993251773010283,3.45,0.7,1.1362193664675,1.35120015480703,1.77827941003892
3,"Back-Transformed",134.135993537095,1.9155408290139,2.7,31.5003923087479,0.7,1.1362193664675,1.35120015480703,1.77827941003892
4,"Scaled",134.777430273724,-1,-0.437832151326478,1,-0.833333333333333,-0.542520422355001,-0.39919989679531,-0.114480393307385
4,"Unscaled",134.777430273724,0.45,1.19325177301028,3.45,0.7,1.1362193664675,1.35120015480703,1.77827941003892
4,"Back-Transformed",134.777430273724,1.56831218549017,3.29778744703246,31.5003923087479,0.7,1.1362193664675,1.35120015480703,1.77827941003892
5,"Scaled",137.457095319756,-1,-0.637832151326478,1.2,-0.833333333333333,-0.542520422355001,-0.39919989679531,-0.114480393307385
5,"Unscaled",137.457095319756,0.45,0.993251773010283,3.65,0.7,1.1362193664675,1.35120015480703,1.77827941003892
5,"Back-Transformed",137.457095319756,1.56831218549017,2.7,38.4746660490321,0.7,1.1362193664675,1.35120015480703,1.77827941003892
6,"Scaled",135.522264521793,-1,-0.637832151326478,1,-0.633333333333334,-0.542520422355001,-0.39919989679531,-0.114480393307385
6,"Unscaled",135.522264521793,0.45,0.993251773010283,3.45,0.77,1.1362193664675,1.35120015480703,1.77827941003892
6,"Back-Transformed",135.522264521793,1.56831218549017,2.7,31.5003923087479,0.77,1.1362193664675,1.35120015480703,1.77827941003892
7,"Scaled",133.24052037723,-1,-0.637832151326478,1,-0.833333333333333,-0.342520422355001,-0.39919989679531,-0.114480393307385
7,"Unscaled",133.24052037723,0.45,0.993251773010283,3.45,0.7,1.31224171382618,1.35120015480703,1.77827941003892
7,"Back-Transformed",133.24052037723,1.56831218549017,2.7,31.5003923087479,0.7,1.31224171382618,1.35120015480703,1.77827941003892
8,"Scaled",130.178771760084,-1,-0.637832151326478,1,-0.833333333333333,-0.542520422355001,-0.19919989679531,-0.114480393307385
8,"Unscaled",130.178771760084,0.45,0.993251773010283,3.45,0.7,1.1362193664675,1.49921671570549,1.77827941003892
8,"Back-Transformed",130.178771760084,1.56831218549017,2.7,31.5003923087479,0.7,1.1362193664675,1.49921671570549,1.77827941003892
9,"Scaled",131.532011664912,-1,-0.637832151326478,1,-0.833333333333333,-0.542520422355001,-0.39919989679531,0.0855196066926151
9,"Unscaled",131.532011664912,0.45,0.993251773010283,3.45,0.7,1.1362193664675,1.35120015480703,1.89074767507699
9,"Back-Transformed",131.532011664912,1.56831218549017,2.7,31.5003923087479,0.7,1.1362193664675,1.35120015480703,1.89074767507699
10,"Scaled",134.515089078583,-1.2,-0.637832151326478,1,-0.833333333333333,-0.542520422355001,-0.39919989679531,-0.114480393307385
10,"Unscaled",134.515089078583,0.25,0.993251773010283,3.45,0.7,1.1362193664675,1.35120015480703,1.77827941003892
10,"Back-Transformed",134.515089078583,1.28402541668774,2.7,31.5003923087479,0.7,1.1362193664675,1.35120015480703,1.77827941003892
11,"Scaled",135.424267609094,-1,-0.837832151326478,1,-0.833333333333333,-0.542520422355001,-0.39919989679531,-0.114480393307385
11,"Unscaled",135.424267609094,0.45,0.793251773010283,3.45,0.7,1.1362193664675,1.35120015480703,1.77827941003892
11,"Back-Transformed",135.424267609094,1.56831218549017,2.21057303331055,31.5003923087479,0.7,1.1362193664675,1.35120015480703,1.77827941003892
12,"Scaled",138.677492710914,-1,-0.637832151326478,0.8,-0.833333333333333,-0.542520422355001,-0.39919989679531,-0.114480393307385
12,"Unscaled",138.677492710914,0.45,0.993251773010283,3.25,0.7,1.1362193664675,1.35120015480703,1.77827941003892
12,"Back-Transformed",138.677492710914,1.56831218549017,2.7,25.7903399171931,0.7,1.1362193664675,1.35120015480703,1.77827941003892
13,"Scaled",135.577454408649,-1,-0.637832151326478,1,-1.03333333333333,-0.542520422355001,-0.39919989679531,-0.114480393307385
13,"Unscaled",135.577454408649,0.45,0.993251773010283,3.45,0.63,1.1362193664675,1.35120015480703,1.77827941003892
13,"Back-Transformed",135.577454408649,1.56831218549017,2.7,31.5003923087479,0.63,1.1362193664675,1.35120015480703,1.77827941003892
14,"Scaled",136.969256774095,-1,-0.637832151326478,1,-0.833333333333333,-0.742520422355001,-0.39919989679531,-0.114480393307385
14,"Unscaled",136.969256774095,0.45,0.993251773010283,3.45,0.7,0.960197019108821,1.35120015480703,1.77827941003892
14,"Back-Transformed",136.969256774095,1.56831218549017,2.7,31.5003923087479,0.7,0.960197019108821,1.35120015480703,1.77827941003892
15,"Scaled",137.950539171078,-1,-0.637832151326478,1,-0.833333333333333,-0.542520422355001,-0.59919989679531,-0.114480393307385
15,"Unscaled",137.950539171078,0.45,0.993251773010283,3.45,0.7,1.1362193664675,1.20318359390858,1.77827941003892
15,"Back-Transformed",137.950539171078,1.56831218549017,2.7,31.5003923087479,0.7,1.1362193664675,1.20318359390858,1.77827941003892
16,"Scaled",135.94041819698,-1,-0.637832151326478,1,-0.833333333333333,-0.542520422355001,-0.39919989679531,-0.314480393307385
16,"Unscaled",135.94041819698,0.45,0.993251773010283,3.45,0.7,1.1362193664675,1.35120015480703,1.66581114500085
16,"Back-Transformed",135.94041819698,1.56831218549017,2.7,31.5003923087479,0.7,1.1362193664675,1.35120015480703,1.66581114500085
17,"Scaled",126.554782262707,-0.991456796836932,-0.6267969821839,1.01283944555317,-0.832527406136966,-0.478998602051005,-0.0555058992278561,0.00781740409429298
17,"Unscaled",126.554782262707,0.458543203163068,1.00428694215286,3.46283944555317,0.700282074518729,1.19212566605953,1.60556217241392,1.84705251549764
17,"Back-Transformed",126.554782262707,1.5817679911138,2.7299599592635,31.9074474700389,0.700282074518729,1.19212566605953,1.60556217241392,1.84705251549764
18,"Scaled",121.605321372249,-0.978497250721176,-0.619730659931933,1.0066733665468,-0.832386774493126,-0.438645333979941,0.21206255957104,0.301965004048298
18,"Unscaled",121.605321372249,0.471502749278825,1.01135326440483,3.4566733665468,0.700331295594072,1.22764105090684,1.80358498779549,2.01246386665734
18,"Back-Transformed",121.605321372249,1.6024003908404,2.74931905431811,31.7113089522856,0.700331295594072,1.22764105090684,1.80358498779549,2.01246386665734
19,"Scaled",117.612443475069,-0.969579219697633,-0.616908022680021,1.03824537407976,-0.832616979214947,-0.422558588071096,0.527448408253805,1.03625965869618
19,"Unscaled",117.612443475069,0.480420780302367,1.01417590165674,3.48824537407976,0.700250723941435,1.24179918478803,2.03699663118581,2.42538809583222
19,"Back-Transformed",117.612443475069,1.61675455755645,2.75709034730909,32.7284710723089,0.700250723941435,1.24179918478803,2.03699663118581,2.42538809583222
20,"Scaled",116.927964455922,-0.971496381256467,-0.615868378061469,1.013441615881,-0.832084955346443,-0.416278830993369,0.425704895314308,1.29650711252721
20,"Unscaled",116.927964455922,0.478503618743533,1.01521554627529,3.463441615881,0.700436932295412,1.24732607269635,1.96169800679065,2.57173599389697
20,"Back-Transformed",116.927964455922,1.6136579471683,2.75995823198365,31.9266669742689,0.700436932295412,1.24732607269635,1.96169800679065,2.57173599389697
21,"Scaled",116.86082400435,-0.972044778732673,-0.614235494567286,1.00941045822877,-0.831739630430543,-0.406930614884022,0.39726411689779,1.39679432715144
21,"Unscaled",116.86082400435,0.477955221267327,1.01684842976947,3.45941045822877,0.700557796015977,1.25555354741226,1.94064947573821,2.62813163906841
21,"Back-Transformed",116.86082400435,1.61277326382384,2.76446860367887,31.798224606038,0.700557796015977,1.25555354741226,1.94064947573821,2.62813163906841
