"","Est.","SE","%RSE","Back-transformed(95%CI)","BSV(CV%)","Shrink(SD)%"
"tka","0.472","0.208","44.1","1.60 (1.07, 2.41)","69.9","1.34<"
"tcl","1.01","0.00728","0.719","2.75 (2.71, 2.79)","27.0","4.41<"
"tv","3.46","0.0460","1.33","31.8 (29.1, 34.8)","13.9","10.4<"
"add.sd","0.695","0.0940","13.5","0.695 (0.511, 0.880)","",""
